United States COVID-19 Hospitalizations by County
Date generated: Mon May 22 2023 19:17:51 GMT-0400 (Eastern Daylight Time)
County,State,New hospital admissions of confirmed COVID-19 past week (total),New COVID-19 hospital admissions per 100000 population past week (total),COVID-19 hospital admissions level,% Change in new hospital admissions of confirmed COVID-19 from the prior week,% Staffed inpatient beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed inpatient beds occupied by patients with confirmed COVID-19 from prior week,% Staffed ICU beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed ICU beds occupied by patients with confirmed COVID-19 from prior week
Ouray County,CO,1,0.9,Low (<10.0),-50,0.2,-0.6,0.6,-0.1
Park County,CO,61,2.1,Low (<10.0),-33.7,1,0,1.9,-0.5
Phillips County,CO,1,3.5,Low (<10.0),-50,1.2,0.8,0,0
Pitkin County,CO,15,4.9,Low (<10.0),66.7,0.5,-0.1,0.2,0.2
Prowers County,CO,3,6.9,Low (<10.0),N/A,0.4,0.4,0,0
Pueblo County,CO,2,1,Low (<10.0),-75,0.9,-0.1,0.7,-1.1
Rio Blanco County,CO,15,4.9,Low (<10.0),66.7,0.5,-0.1,0.2,0.2
Rio Grande County,CO,1,2.1,Low (<10.0),-75,2.2,0.7,5.1,5.1
Routt County,CO,0,0,Low (<10.0),-100,0,0,0,0
Saguache County,CO,1,2.1,Low (<10.0),-75,2.2,0.7,5.1,5.1
San Juan County,CO,20,5.7,Low (<10.0),-4.8,2.2,0.2,4.6,0.2
San Miguel County,CO,1,0.9,Low (<10.0),-50,0.2,-0.6,0.6,-0.1
Sedgwick County,CO,1,3.5,Low (<10.0),-50,1.2,0.8,0,0
Summit County,CO,61,2.1,Low (<10.0),-33.7,1,0,1.9,-0.5
Teller County,CO,13,1.7,Low (<10.0),8.3,0.6,-0.4,0.1,-0.5
Washington County,CO,11,3,Low (<10.0),37.5,1,-0.1,0.7,0.3
Weld County,CO,11,3,Low (<10.0),37.5,1,-0.1,0.7,0.3
Yuma County,CO,11,3,Low (<10.0),37.5,1,-0.1,0.7,0.3
Fairfield County,CT,12,1.3,Low (<10.0),-29.4,1,-0.2,0.6,-0.4
Hartford County,CT,18,1.6,Low (<10.0),-40,0.6,-0.1,1,0.1
Litchfield County,CT,58,4.8,Low (<10.0),7.4,0.7,-0.4,0.6,0.2
Middlesex County,CT,58,4.8,Low (<10.0),7.4,0.7,-0.4,0.6,0.2
New Haven County,CT,58,4.8,Low (<10.0),7.4,0.7,-0.4,0.6,0.2
New London County,CT,13,1,Low (<10.0),-18.8,0.8,0,0.3,-0.4
Tolland County,CT,18,1.6,Low (<10.0),-40,0.6,-0.1,1,0.1
Windham County,CT,18,1.6,Low (<10.0),-40,0.6,-0.1,1,0.1
District of Columbia,DC,36,1.2,Low (<10.0),-12.2,1.1,-0.1,1,0.1
Kent County,DE,11,1.8,Low (<10.0),37.5,0.8,-0.5,1,-0.7
New Castle County,DE,5,0.5,Low (<10.0),-64.3,1.2,-0.2,0.4,-0.5
Sussex County,DE,11,1.8,Low (<10.0),37.5,0.8,-0.5,1,-0.7
Alachua County,FL,29,5.5,Low (<10.0),-27.5,1.1,-0.4,1,-0.5
Baker County,FL,51,3.4,Low (<10.0),27.5,0.9,0,0.7,-0.1
Bay County,FL,4,1.4,Low (<10.0),-63.6,1.2,-0.1,1.2,-1.2
Bradford County,FL,29,5.5,Low (<10.0),-27.5,1.1,-0.4,1,-0.5
Brevard County,FL,22,2.9,Low (<10.0),-18.5,1.5,-0.2,0.7,-0.1
Broward County,FL,224,4.7,Low (<10.0),-7.1,1.6,0.1,1.2,0.2
Calhoun County,FL,4,1.4,Low (<10.0),-63.6,1.2,-0.1,1.2,-1.2
Charlotte County,FL,31,4.7,Low (<10.0),24,1,-0.3,0.8,-0.1
Citrus County,FL,8,1.6,Low (<10.0),-38.5,1.1,-0.2,0.9,-0.3
Clay County,FL,51,3.4,Low (<10.0),27.5,0.9,0,0.7,-0.1
Collier County,FL,37,3.1,Low (<10.0),-15.9,1.7,-0.3,1.3,-0.6
Columbia County,FL,29,5.5,Low (<10.0),-27.5,1.1,-0.4,1,-0.5
DeSoto County,FL,31,4.7,Low (<10.0),24,1,-0.3,0.8,-0.1
Dixie County,FL,29,5.5,Low (<10.0),-27.5,1.1,-0.4,1,-0.5
Duval County,FL,51,3.4,Low (<10.0),27.5,0.9,0,0.7,-0.1
Escambia County,FL,18,2.2,Low (<10.0),-33.3,0.5,-0.2,0.9,-0.1
Flagler County,FL,115,3.8,Low (<10.0),25,1.4,-0.1,1.5,-0.5
Franklin County,FL,9,2,Low (<10.0),-25,0.6,0.2,0.1,-0.3
Gadsden County,FL,9,2,Low (<10.0),-25,0.6,0.2,0.1,-0.3
Gilchrist County,FL,29,5.5,Low (<10.0),-27.5,1.1,-0.4,1,-0.5
Glades County,FL,37,3.1,Low (<10.0),-15.9,1.7,-0.3,1.3,-0.6
Gulf County,FL,4,1.4,Low (<10.0),-63.6,1.2,-0.1,1.2,-1.2
Hamilton County,FL,29,5.5,Low (<10.0),-27.5,1.1,-0.4,1,-0.5
Hardee County,FL,33,3.8,Low (<10.0),6.5,1.4,0,1.9,0.2
Hendry County,FL,37,3.1,Low (<10.0),-15.9,1.7,-0.3,1.3,-0.6
Hernando County,FL,161,5,Low (<10.0),13.4,1.2,-0.2,1.1,0.1
Highlands County,FL,33,3.8,Low (<10.0),6.5,1.4,0,1.9,0.2
Hillsborough County,FL,161,5,Low (<10.0),13.4,1.2,-0.2,1.1,0.1
Holmes County,FL,4,1.4,Low (<10.0),-63.6,1.2,-0.1,1.2,-1.2
Indian River County,FL,22,2.9,Low (<10.0),-18.5,1.5,-0.2,0.7,-0.1
Jackson County,FL,4,1.4,Low (<10.0),-63.6,1.2,-0.1,1.2,-1.2
Jefferson County,FL,9,2,Low (<10.0),-25,0.6,0.2,0.1,-0.3
Lafayette County,FL,29,5.5,Low (<10.0),-27.5,1.1,-0.4,1,-0.5
Lake County,FL,115,3.8,Low (<10.0),25,1.4,-0.1,1.5,-0.5
Lee County,FL,37,3.1,Low (<10.0),-15.9,1.7,-0.3,1.3,-0.6
Leon County,FL,9,2,Low (<10.0),-25,0.6,0.2,0.1,-0.3
Levy County,FL,29,5.5,Low (<10.0),-27.5,1.1,-0.4,1,-0.5
Liberty County,FL,9,2,Low (<10.0),-25,0.6,0.2,0.1,-0.3
Madison County,FL,9,2,Low (<10.0),-25,0.6,0.2,0.1,-0.3
Manatee County,FL,4,1,Low (<10.0),-66.7,1.2,-0.7,1.2,-1.5
Marion County,FL,8,1.6,Low (<10.0),-38.5,1.1,-0.2,0.9,-0.3
Martin County,FL,85,4.2,Low (<10.0),-13.3,1.6,-0.1,1.4,0.2
Miami-Dade County,FL,224,4.7,Low (<10.0),-7.1,1.6,0.1,1.2,0.2
Monroe County,FL,224,4.7,Low (<10.0),-7.1,1.6,0.1,1.2,0.2
Nassau County,FL,51,3.4,Low (<10.0),27.5,0.9,0,0.7,-0.1
Okaloosa County,FL,18,2.2,Low (<10.0),-33.3,0.5,-0.2,0.9,-0.1
Okeechobee County,FL,85,4.2,Low (<10.0),-13.3,1.6,-0.1,1.4,0.2
Orange County,FL,115,3.8,Low (<10.0),25,1.4,-0.1,1.5,-0.5
Osceola County,FL,16,4.3,Low (<10.0),45.5,1.1,-0.4,0.5,-1
Palm Beach County,FL,85,4.2,Low (<10.0),-13.3,1.6,-0.1,1.4,0.2
Pasco County,FL,161,5,Low (<10.0),13.4,1.2,-0.2,1.1,0.1
Pinellas County,FL,161,5,Low (<10.0),13.4,1.2,-0.2,1.1,0.1
Polk County,FL,33,3.8,Low (<10.0),6.5,1.4,0,1.9,0.2
Putnam County,FL,4,1.2,Low (<10.0),-50,0.8,0.1,0.3,0.1
Santa Rosa County,FL,18,2.2,Low (<10.0),-33.3,0.5,-0.2,0.9,-0.1
Sarasota County,FL,31,4.7,Low (<10.0),24,1,-0.3,0.8,-0.1
Seminole County,FL,115,3.8,Low (<10.0),25,1.4,-0.1,1.5,-0.5
St. Johns County,FL,4,1.2,Low (<10.0),-50,0.8,0.1,0.3,0.1
St. Lucie County,FL,85,4.2,Low (<10.0),-13.3,1.6,-0.1,1.4,0.2
Sumter County,FL,115,3.8,Low (<10.0),25,1.4,-0.1,1.5,-0.5
Suwannee County,FL,29,5.5,Low (<10.0),-27.5,1.1,-0.4,1,-0.5
Taylor County,FL,9,2,Low (<10.0),-25,0.6,0.2,0.1,-0.3
Union County,FL,29,5.5,Low (<10.0),-27.5,1.1,-0.4,1,-0.5
Volusia County,FL,115,3.8,Low (<10.0),25,1.4,-0.1,1.5,-0.5
Wakulla County,FL,9,2,Low (<10.0),-25,0.6,0.2,0.1,-0.3
Walton County,FL,18,2.2,Low (<10.0),-33.3,0.5,-0.2,0.9,-0.1
Washington County,FL,4,1.4,Low (<10.0),-63.6,1.2,-0.1,1.2,-1.2
Appling County,GA,3,6.2,Low (<10.0),N/A,0.3,0.3,0.2,0.2
Atkinson County,GA,3,4.5,Low (<10.0),-72.7,0.4,0.1,3.5,-4.1
Bacon County,GA,3,4.1,Low (<10.0),0,1.4,0.7,0.1,-1.8
Baker County,GA,0,0,Low (<10.0),-100,0.5,-0.1,1.3,-0.2
Baldwin County,GA,3,4,Low (<10.0),200,1.2,0.6,8,2.8
Banks County,GA,2,0.5,Low (<10.0),-33.3,2,0.2,0.3,-0.3
Barrow County,GA,4,1,Low (<10.0),-20,0.8,0,1.9,-0.1
Bartow County,GA,11,3.3,Low (<10.0),10,1.2,-0.4,1.7,-0.2
Ben Hill County,GA,5,6.7,Low (<10.0),150,0.8,-0.7,1.2,-0.8
Berrien County,GA,3,1.6,Low (<10.0),-25,0.5,-0.9,0,-1.7
Bibb County,GA,3,0.7,Low (<10.0),-40,0.7,-0.2,1.2,0.5
Bleckley County,GA,3,0.7,Low (<10.0),-40,0.7,-0.2,1.2,0.5
Brantley County,GA,51,3.4,Low (<10.0),27.5,0.9,0,0.7,-0.1
Brooks County,GA,3,1.6,Low (<10.0),-25,0.5,-0.9,0,-1.7
Bryan County,GA,18,2.5,Low (<10.0),20,1,0.1,1.6,0.3
Bulloch County,GA,1,0.8,Low (<10.0),-66.7,0.7,0.4,1.5,1.2
Burke County,GA,14,2.2,Low (<10.0),100,0.6,0,0.7,0.5
Butts County,GA,5,5.5,Low (<10.0),0,2.5,0.2,4.1,2.4
Calhoun County,GA,0,0,Low (<10.0),-100,0.5,-0.1,1.3,-0.2
Camden County,GA,51,3.4,Low (<10.0),27.5,0.9,0,0.7,-0.1
Candler County,GA,1,0.8,Low (<10.0),-66.7,0.7,0.4,1.5,1.2
Carroll County,GA,4,1.4,Low (<10.0),33.3,0.6,-0.1,1.5,0.5
Catoosa County,GA,11,1.9,Low (<10.0),-15.4,0.5,-0.1,0.6,-0.4
Charlton County,GA,51,3.4,Low (<10.0),27.5,0.9,0,0.7,-0.1
Chatham County,GA,18,2.5,Low (<10.0),20,1,0.1,1.6,0.3
Chattahoochee County,GA,6,1.8,Low (<10.0),50,1.2,-0.3,1.5,-0.6
Chattooga County,GA,11,3.3,Low (<10.0),10,1.2,-0.4,1.7,-0.2
Cherokee County,GA,48,3.5,Low (<10.0),-14.3,2.1,0.2,2.7,1.7
Clarke County,GA,4,1,Low (<10.0),-20,0.8,0,1.9,-0.1
Clay County,GA,0,0,Low (<10.0),-100,0.5,-0.1,1.3,-0.2
Clayton County,GA,93,2.4,Low (<10.0),-11.4,1,0,1.5,-0.2
Clinch County,GA,3,4.1,Low (<10.0),0,1.4,0.7,0.1,-1.8
Cobb County,GA,48,3.5,Low (<10.0),-14.3,2.1,0.2,2.7,1.7
Coffee County,GA,3,4.5,Low (<10.0),-72.7,0.4,0.1,3.5,-4.1
Colquitt County,GA,2,4.4,Low (<10.0),-33.3,0.5,-0.3,1.4,-5.1
Columbia County,GA,14,2.2,Low (<10.0),100,0.6,0,0.7,0.5
Cook County,GA,3,1.6,Low (<10.0),-25,0.5,-0.9,0,-1.7
Coweta County,GA,3,1,Low (<10.0),-25,1.1,0,0.8,-0.5
Crawford County,GA,3,0.7,Low (<10.0),-40,0.7,-0.2,1.2,0.5
Crisp County,GA,2,2.3,Low (<10.0),100,0.4,0.3,0,0
Dade County,GA,11,1.9,Low (<10.0),-15.4,0.5,-0.1,0.6,-0.4
Dawson County,GA,2,0.5,Low (<10.0),-33.3,2,0.2,0.3,-0.3
Decatur County,GA,1,2.5,Low (<10.0),-66.7,4,1.2,6.8,3.4
DeKalb County,GA,93,2.4,Low (<10.0),-11.4,1,0,1.5,-0.2
Dodge County,GA,3,2.1,Low (<10.0),50,0.5,0.1,1.9,0.9
Dooly County,GA,2,2.3,Low (<10.0),100,0.4,0.3,0,0
Dougherty County,GA,0,0,Low (<10.0),-100,0.5,-0.1,1.3,-0.2
Douglas County,GA,48,3.5,Low (<10.0),-14.3,2.1,0.2,2.7,1.7
Early County,GA,0,0,Low (<10.0),-100,0.5,-0.1,1.3,-0.2
Echols County,GA,3,1.6,Low (<10.0),-25,0.5,-0.9,0,-1.7
Effingham County,GA,18,2.5,Low (<10.0),20,1,0.1,1.6,0.3
Elbert County,GA,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Emanuel County,GA,1,0.8,Low (<10.0),-66.7,0.7,0.4,1.5,1.2
Evans County,GA,18,2.5,Low (<10.0),20,1,0.1,1.6,0.3
Fannin County,GA,4,2.2,Low (<10.0),-20,1.5,0.8,7.9,6.8
Fayette County,GA,93,2.4,Low (<10.0),-11.4,1,0,1.5,-0.2
Floyd County,GA,11,3.3,Low (<10.0),10,1.2,-0.4,1.7,-0.2
Forsyth County,GA,93,2.4,Low (<10.0),-11.4,1,0,1.5,-0.2
Franklin County,GA,1,1.3,Low (<10.0),0,0.1,-0.2,0.3,0.3
Fulton County,GA,93,2.4,Low (<10.0),-11.4,1,0,1.5,-0.2
Gilmer County,GA,4,2.2,Low (<10.0),-20,1.5,0.8,7.9,6.8
Glascock County,GA,14,2.2,Low (<10.0),100,0.6,0,0.7,0.5
Glynn County,GA,51,3.4,Low (<10.0),27.5,0.9,0,0.7,-0.1
Gordon County,GA,11,3.3,Low (<10.0),10,1.2,-0.4,1.7,-0.2
Grady County,GA,3,3.3,Low (<10.0),N/A,0,-0.7,0.3,0.3
Greene County,GA,4,1,Low (<10.0),-20,0.8,0,1.9,-0.1
Gwinnett County,GA,93,2.4,Low (<10.0),-11.4,1,0,1.5,-0.2
Habersham County,GA,2,0.5,Low (<10.0),-33.3,2,0.2,0.3,-0.3
Hall County,GA,2,0.5,Low (<10.0),-33.3,2,0.2,0.3,-0.3
Hancock County,GA,3,4,Low (<10.0),200,1.2,0.6,8,2.8
Haralson County,GA,4,1.4,Low (<10.0),33.3,0.6,-0.1,1.5,0.5
Harris County,GA,6,1.8,Low (<10.0),50,1.2,-0.3,1.5,-0.6
Hart County,GA,1,1.3,Low (<10.0),0,0.1,-0.2,0.3,0.3
Heard County,GA,3,1,Low (<10.0),-25,1.1,0,0.8,-0.5
Henry County,GA,93,2.4,Low (<10.0),-11.4,1,0,1.5,-0.2
Houston County,GA,3,0.7,Low (<10.0),-40,0.7,-0.2,1.2,0.5
Irwin County,GA,5,6.7,Low (<10.0),150,0.8,-0.7,1.2,-0.8
Jackson County,GA,4,1,Low (<10.0),-20,0.8,0,1.9,-0.1
Jasper County,GA,4,3.2,Low (<10.0),0,2.8,0.5,0.6,-1.2
Jeff Davis County,GA,3,4.5,Low (<10.0),-72.7,0.4,0.1,3.5,-4.1
Jefferson County,GA,1,2.8,Low (<10.0),N/A,0.5,0.5,N/A,N/A
Jenkins County,GA,14,2.2,Low (<10.0),100,0.6,0,0.7,0.5
Johnson County,GA,3,2.1,Low (<10.0),50,0.5,0.1,1.9,0.9
Jones County,GA,3,0.7,Low (<10.0),-40,0.7,-0.2,1.2,0.5
Lamar County,GA,2,3.1,Low (<10.0),N/A,0.3,0.3,0,0
Lanier County,GA,3,1.6,Low (<10.0),-25,0.5,-0.9,0,-1.7
Laurens County,GA,3,2.1,Low (<10.0),50,0.5,0.1,1.9,0.9
Lee County,GA,0,0,Low (<10.0),-100,0.5,-0.1,1.3,-0.2
Liberty County,GA,18,2.5,Low (<10.0),20,1,0.1,1.6,0.3
Lincoln County,GA,14,2.2,Low (<10.0),100,0.6,0,0.7,0.5
Long County,GA,18,2.5,Low (<10.0),20,1,0.1,1.6,0.3
Lowndes County,GA,3,1.6,Low (<10.0),-25,0.5,-0.9,0,-1.7
Lumpkin County,GA,2,0.5,Low (<10.0),-33.3,2,0.2,0.3,-0.3
Macon County,GA,2,2.3,Low (<10.0),100,0.4,0.3,0,0
Madison County,GA,4,1,Low (<10.0),-20,0.8,0,1.9,-0.1
Marion County,GA,6,1.8,Low (<10.0),50,1.2,-0.3,1.5,-0.6
McDuffie County,GA,14,2.2,Low (<10.0),100,0.6,0,0.7,0.5
McIntosh County,GA,51,3.4,Low (<10.0),27.5,0.9,0,0.7,-0.1
Meriwether County,GA,3,1,Low (<10.0),-25,1.1,0,0.8,-0.5
Miller County,GA,1,2.5,Low (<10.0),-66.7,4,1.2,6.8,3.4
Mitchell County,GA,3,3.3,Low (<10.0),N/A,0,-0.7,0.3,0.3
Monroe County,GA,3,0.7,Low (<10.0),-40,0.7,-0.2,1.2,0.5
Montgomery County,GA,3,2.1,Low (<10.0),50,0.5,0.1,1.9,0.9
Morgan County,GA,4,1,Low (<10.0),-20,0.8,0,1.9,-0.1
Murray County,GA,2,1.4,Low (<10.0),-60,1.6,0.1,0,0
Muscogee County,GA,6,1.8,Low (<10.0),50,1.2,-0.3,1.5,-0.6
Newton County,GA,4,3.2,Low (<10.0),0,2.8,0.5,0.6,-1.2
Oconee County,GA,4,1,Low (<10.0),-20,0.8,0,1.9,-0.1
Oglethorpe County,GA,4,1,Low (<10.0),-20,0.8,0,1.9,-0.1
Paulding County,GA,48,3.5,Low (<10.0),-14.3,2.1,0.2,2.7,1.7
Peach County,GA,3,0.7,Low (<10.0),-40,0.7,-0.2,1.2,0.5
Pickens County,GA,48,3.5,Low (<10.0),-14.3,2.1,0.2,2.7,1.7
Pierce County,GA,3,4.1,Low (<10.0),0,1.4,0.7,0.1,-1.8
Pike County,GA,2,3.1,Low (<10.0),N/A,0.3,0.3,0,0
Polk County,GA,11,3.3,Low (<10.0),10,1.2,-0.4,1.7,-0.2
Pulaski County,GA,3,0.7,Low (<10.0),-40,0.7,-0.2,1.2,0.5
Putnam County,GA,3,4,Low (<10.0),200,1.2,0.6,8,2.8
Quitman County,GA,5,1.8,Low (<10.0),-58.3,0.9,0,2.4,0.7
Rabun County,GA,0,0,Low (<10.0),N/A,0.1,-3.2,N/A,N/A
Randolph County,GA,0,0,Low (<10.0),-100,0.5,-0.1,1.3,-0.2
Richmond County,GA,14,2.2,Low (<10.0),100,0.6,0,0.7,0.5
Rockdale County,GA,93,2.4,Low (<10.0),-11.4,1,0,1.5,-0.2
Schley County,GA,6,1.8,Low (<10.0),50,1.2,-0.3,1.5,-0.6
Screven County,GA,1,0.8,Low (<10.0),-66.7,0.7,0.4,1.5,1.2
Seminole County,GA,1,2.5,Low (<10.0),-66.7,4,1.2,6.8,3.4
Spalding County,GA,5,5.5,Low (<10.0),0,2.5,0.2,4.1,2.4
Stephens County,GA,1,1.3,Low (<10.0),0,0.1,-0.2,0.3,0.3
Stewart County,GA,6,1.8,Low (<10.0),50,1.2,-0.3,1.5,-0.6
Sumter County,GA,2,2.3,Low (<10.0),100,0.4,0.3,0,0
Talbot County,GA,6,1.8,Low (<10.0),50,1.2,-0.3,1.5,-0.6
Taliaferro County,GA,14,2.2,Low (<10.0),100,0.6,0,0.7,0.5
Tattnall County,GA,18,2.5,Low (<10.0),20,1,0.1,1.6,0.3
Taylor County,GA,3,0.7,Low (<10.0),-40,0.7,-0.2,1.2,0.5
Telfair County,GA,3,2.1,Low (<10.0),50,0.5,0.1,1.9,0.9
Terrell County,GA,0,0,Low (<10.0),-100,0.5,-0.1,1.3,-0.2
Thomas County,GA,3,3.3,Low (<10.0),N/A,0,-0.7,0.3,0.3
Tift County,GA,5,6.7,Low (<10.0),150,0.8,-0.7,1.2,-0.8
Toombs County,GA,3,2.1,Low (<10.0),50,0.5,0.1,1.9,0.9
Towns County,GA,2,0.5,Low (<10.0),-33.3,2,0.2,0.3,-0.3
Treutlen County,GA,3,2.1,Low (<10.0),50,0.5,0.1,1.9,0.9
Troup County,GA,3,1,Low (<10.0),-25,1.1,0,0.8,-0.5
Turner County,GA,5,6.7,Low (<10.0),150,0.8,-0.7,1.2,-0.8
Twiggs County,GA,3,0.7,Low (<10.0),-40,0.7,-0.2,1.2,0.5
Union County,GA,2,0.5,Low (<10.0),-33.3,2,0.2,0.3,-0.3
Upson County,GA,2,3.1,Low (<10.0),N/A,0.3,0.3,0,0
Walker County,GA,11,1.9,Low (<10.0),-15.4,0.5,-0.1,0.6,-0.4
Walton County,GA,93,2.4,Low (<10.0),-11.4,1,0,1.5,-0.2
Ware County,GA,3,4.1,Low (<10.0),0,1.4,0.7,0.1,-1.8
Warren County,GA,14,2.2,Low (<10.0),100,0.6,0,0.7,0.5
Washington County,GA,1,2.8,Low (<10.0),N/A,0.5,0.5,N/A,N/A
Wayne County,GA,3,6.2,Low (<10.0),N/A,0.3,0.3,0.2,0.2
Webster County,GA,6,1.8,Low (<10.0),50,1.2,-0.3,1.5,-0.6
Wheeler County,GA,3,2.1,Low (<10.0),50,0.5,0.1,1.9,0.9
White County,GA,2,0.5,Low (<10.0),-33.3,2,0.2,0.3,-0.3
Whitfield County,GA,2,1.4,Low (<10.0),-60,1.6,0.1,0,0
Wilcox County,GA,2,2.3,Low (<10.0),100,0.4,0.3,0,0
Wilkes County,GA,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Wilkinson County,GA,3,0.7,Low (<10.0),-40,0.7,-0.2,1.2,0.5
Worth County,GA,0,0,Low (<10.0),-100,0.5,-0.1,1.3,-0.2
Unallocated Guam,GU,6,3.6,Low (<10.0),0,3.3,-0.9,0.3,-0.1
Hawaii County,HI,5,2.5,Low (<10.0),-50,3.4,-2.4,5.3,-1.4
Honolulu County,HI,91,8,Low (<10.0),-3.2,2.5,-0.1,2.7,-0.1
Kalawao County,HI,91,8,Low (<10.0),-3.2,2.5,-0.1,2.7,-0.1
Kauai County,HI,2,2.8,Low (<10.0),0,2.1,0.4,3,-0.4
Maui County,HI,91,8,Low (<10.0),-3.2,2.5,-0.1,2.7,-0.1
Adair County,IA,18,2.4,Low (<10.0),12.5,1.1,-0.4,1,-0.1
Adams County,IA,0,0,Low (<10.0),-100,2.2,1.1,0,0
Allamakee County,IA,5,1.9,Low (<10.0),0,0.5,-0.2,0.2,-1
Appanoose County,IA,1,4.7,Low (<10.0),-50,1.6,1.1,N/A,N/A
Audubon County,IA,1,0.7,Low (<10.0),-80,1.1,-0.1,1,0.1
Benton County,IA,13,2.6,Low (<10.0),-13.3,0.6,-0.1,0.4,-0.2
Black Hawk County,IA,8,3.6,Low (<10.0),100,0.8,-0.1,1.8,1.4
Boone County,IA,2,1.2,Low (<10.0),-33.3,0.4,-0.6,0,0
Bremer County,IA,8,3.6,Low (<10.0),100,0.8,-0.1,1.8,1.4
Buchanan County,IA,8,3.6,Low (<10.0),100,0.8,-0.1,1.8,1.4
Buena Vista County,IA,2,1,Low (<10.0),-75,1.2,0.1,1.8,0.7
Butler County,IA,8,3.6,Low (<10.0),100,0.8,-0.1,1.8,1.4
Calhoun County,IA,0,0,Low (<10.0),N/A,0,0,0,0
Carroll County,IA,0,0,Low (<10.0),N/A,0,0,0,0
Cass County,IA,1,0.7,Low (<10.0),-80,1.1,-0.1,1,0.1
Cedar County,IA,13,2.6,Low (<10.0),-13.3,0.6,-0.1,0.4,-0.2
Cerro Gordo County,IA,2,2.1,Low (<10.0),-71.4,1.6,0.2,0.4,0.4
Cherokee County,IA,2,1,Low (<10.0),-75,1.2,0.1,1.8,0.7
Chickasaw County,IA,0,0,Low (<10.0),N/A,0,-1.3,N/A,N/A
Clarke County,IA,18,2.4,Low (<10.0),12.5,1.1,-0.4,1,-0.1
Clay County,IA,1,2.4,Low (<10.0),N/A,0.1,0.1,0.7,0.7
Clayton County,IA,2,3.9,Low (<10.0),N/A,0.2,0.2,0,0
Clinton County,IA,4,3.5,Low (<10.0),300,0.7,0,3.7,3.7
Crawford County,IA,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Dallas County,IA,18,2.4,Low (<10.0),12.5,1.1,-0.4,1,-0.1
Davis County,IA,1,4.7,Low (<10.0),-50,1.6,1.1,N/A,N/A
Decatur County,IA,18,2.4,Low (<10.0),12.5,1.1,-0.4,1,-0.1
Delaware County,IA,2,3.9,Low (<10.0),N/A,0.2,0.2,0,0
Des Moines County,IA,2,3.1,Low (<10.0),0,0.6,0.1,3.9,2.8
Dickinson County,IA,1,2.4,Low (<10.0),N/A,0.1,0.1,0.7,0.7
Dubuque County,IA,5,2.7,Low (<10.0),66.7,0.9,-0.5,0.4,-0.9
Emmet County,IA,1,3.5,Low (<10.0),N/A,0.1,-0.3,0,0
Fayette County,IA,8,3.6,Low (<10.0),100,0.8,-0.1,1.8,1.4
Floyd County,IA,0,0,Low (<10.0),N/A,0,-1.3,N/A,N/A
Franklin County,IA,2,2.1,Low (<10.0),-71.4,1.6,0.2,0.4,0.4
Fremont County,IA,1,3.5,Low (<10.0),N/A,0.5,0.5,0,0
Greene County,IA,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Grundy County,IA,8,3.6,Low (<10.0),100,0.8,-0.1,1.8,1.4
Guthrie County,IA,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Hamilton County,IA,2,1.2,Low (<10.0),-33.3,0.4,-0.6,0,0
Hancock County,IA,2,2.1,Low (<10.0),-71.4,1.6,0.2,0.4,0.4
Hardin County,IA,2,1.2,Low (<10.0),-33.3,0.4,-0.6,0,0
Harrison County,IA,1,0.7,Low (<10.0),-80,1.1,-0.1,1,0.1
Henry County,IA,2,3.1,Low (<10.0),0,0.6,0.1,3.9,2.8
Howard County,IA,16,4.5,Low (<10.0),100,0.6,0,0.5,-0.4
Humboldt County,IA,0,0,Low (<10.0),-100,1.6,-1.3,0,-4.2
Ida County,IA,2,1,Low (<10.0),-75,1.2,0.1,1.8,0.7
Iowa County,IA,13,2.6,Low (<10.0),-13.3,0.6,-0.1,0.4,-0.2
Jackson County,IA,5,2.7,Low (<10.0),66.7,0.9,-0.5,0.4,-0.9
Jasper County,IA,18,2.4,Low (<10.0),12.5,1.1,-0.4,1,-0.1
Jefferson County,IA,5,5,Low (<10.0),N/A,0.9,-0.2,0,0
Johnson County,IA,13,2.6,Low (<10.0),-13.3,0.6,-0.1,0.4,-0.2
Jones County,IA,13,2.6,Low (<10.0),-13.3,0.6,-0.1,0.4,-0.2
Keokuk County,IA,5,5,Low (<10.0),N/A,0.9,-0.2,0,0
Kossuth County,IA,2,2.1,Low (<10.0),-71.4,1.6,0.2,0.4,0.4
Lee County,IA,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Linn County,IA,13,2.6,Low (<10.0),-13.3,0.6,-0.1,0.4,-0.2
Louisa County,IA,13,2.6,Low (<10.0),-13.3,0.6,-0.1,0.4,-0.2
Lucas County,IA,0,0,Low (<10.0),-100,2.1,0.9,0,0
Lyon County,IA,17,5.1,Low (<10.0),-15,2.3,-0.3,1.2,-0.5
Madison County,IA,18,2.4,Low (<10.0),12.5,1.1,-0.4,1,-0.1
Mahaska County,IA,5,5,Low (<10.0),N/A,0.9,-0.2,0,0
Marion County,IA,18,2.4,Low (<10.0),12.5,1.1,-0.4,1,-0.1
Marshall County,IA,0,0,Low (<10.0),N/A,0.4,-9.7,N/A,N/A
